OIL_WTI VALUE (1825 TERM),NGP_NYMX  VALUE (1825 TERM),EQTY_S&P500 INDX_USD VALUE,Basis ,IR_USD_GOVT VALUE (10950 TERM),IR_CAD_GOVT VALUE (10950 TERM),IR_CAD_SWAP VALUE (10950 TERM),IR_USD_SWAP VALUE (10950 TERM),FX Rate
59.42190476,3.234571429,1943.350909,0.750227273,3.16E-02,2.33E-02,2.61E-02,2.75E-02,0.753285306
58.80272727,3.141954545,2024.812727,-0.460227273,3.10E-02,2.36E-02,2.54E-02,2.62E-02,0.729292603
57.7295,3.0874,2081.009524,-5.05952381,3.24E-02,2.42E-02,2.59E-02,2.66E-02,0.703829924
55.42409091,3.199545455,2054.378696,-3.636363636,3.16E-02,0.022739268,2.54E-02,2.66E-02,0.725196275
48.84263158,3.321210526,1923.814286,-2.988095238,3.08E-02,2.15E-02,2.37E-02,2.47E-02,0.757075799
48.043,3.17395,1902.529524,-4.1125,2.81E-02,2.01E-02,2.03E-02,2.19E-02,0.780529841
49.39136364,3.193,2022.561304,-4.936956522,2.85E-02,0.02132494,2.12E-02,2.24E-02,0.772376823
50.61809524,3.31447619,2076.312857,-5.680952381,2.81E-02,2.08E-02,2.10E-02,2.22E-02,0.776008731
54.56666667,3.064952381,2067.025455,-6.30952381,2.81E-02,2.07E-02,2.11E-02,2.20E-02,0.767123453
55.59772727,3.029272727,2083.886364,-4.556818182,2.63E-02,1.89E-02,1.90E-02,2.03E-02,0.769341772
56.011,3.0512,2146.71381,-3.630952381,0.023877574,1.74E-02,1.70E-02,1.83E-02,0.76393352
55.18391304,3.068173913,2177.482174,-5.543478261,2.40E-02,1.71E-02,1.63E-02,1.78E-02,0.754962435
55.3352381,2.971761905,2158.703636,-4.976190476,2.48E-02,1.79E-02,1.65E-02,1.83E-02,0.743794357
57.3052381,2.941571429,2144.256667,-5.583333333,2.64E-02,1.89E-02,0.017724333,1.98E-02,0.748958064
55.06428571,2.941190476,2166.426364,-7.556818182,3.04E-02,2.13E-02,2.11E-02,2.35E-02,0.757364142
55.72142857,2.932809524,2247.369545,-9.7625,3.29E-02,2.39E-02,2.41E-02,2.66E-02,0.76272983
56.3575,3.0622,2273.445,-9.154761905,3.18E-02,2.40E-02,2.36E-02,2.57E-02,0.747265241
55.03631579,3.134315789,2330.972,-8.75,0.031827274,2.46E-02,2.45E-02,2.66E-02,0.744340568
52.44478261,3.091173913,2366.822174,-7.358695652,3.24E-02,0.024589913,2.46E-02,2.72E-02,0.735536535
